hash,from,to,timestamp,trader_name,reported_value
0x0aec27e09a3c5a3474b9f58b2bad61e93c2b46566c092fbc1a27f50dd5495628,0xd3a22590f8243f8e83ac230d1842c9af0404c4a1,0x0d8ce2a99bb6e3b7db580ed848240e4a0f9ae153,1738310162,TraderA,0
0x9a232c8fe83c0cf8e0dd042a36bc0c3af88b29b04098c5c0623bc6239ec4aa54,0x08439901c2bb071cd0812ed329675c9657434083,0xd3a22590f8243f8e83ac230d1842c9af0404c4a1,1738062029,TraderB,4846690000000000000000
0x3e025f30119ec86bdddd83777f33bf7fdaacc48e495072dea8a1e84b29f7680f,0xd3a22590f8243f8e83ac230d1842c9af0404c4a1,0x55d398326f99059ff775485246999027b3197955,1737961174,TraderC,0
0x8c272788edbbd09ec73cd4cd410696c7ee5ccd46f29d10c95e7e114b6b0a8439,0x08439901c2bb071cd0812ed329675c9657434083,0xd3a22590f8243f8e83ac230d1842c9af0404c4a1,1737873630,TraderD,4895959000000000000000
0x4a8aa204f619e1ffe0274bb23eef6858cc0c21c51c01e8ea906ac6026d362690,0xd3a22590f8243f8e83ac230d1842c9af0404c4a1,0x55d398326f99059ff775485246999027b3197955,1737714471,TraderE,0
0x77b8c7d3fba4d2c12c5daf47e85829408805a43b36bd99c7cad6e12b2c8b6344,0xd3a22590f8243f8e83ac230d1842c9af0404c4a1,0xba2ae424d960c26247dd6c32edc70b295c744c43,1737533429,TraderF,0
0xe156a18d6333b7adb2b3a182443a9cd6573bd46a0272c35a1f5bc2bf314e79d7,0xd3a22590f8243f8e83ac230d1842c9af0404c4a1,0x55d398326f99059ff775485246999027b3197955,1737470241,TraderG,0
0x738d3c05d4afb172e3a1d50a8cee8c00368a1e13a0ed78712968d8001ac47a7f,0x084384853199d910d35a0730208af2e5d4234083,0xd3a22590f8243f8e83ac230d1842c9af0404c4a1,1737345552,TraderH,3999999999999
0x424fb1d05452dfa5bad8481f13cd0aee19a85e7142dd103e6a91558a864b0bb7,0xd3a22590f8243f8e83ac230d1842c9af0404c4a1,0x08439901c2bb071cd0812ed329675c9657434083,1737345522,TraderI,4000000000000000000000
0xa7b817a40e232c69ea90cc9d8d8d62168fe10250fef6321bbb61578bc263eb6d,0xd3a22590f8243f8e83ac230d1842c9af0404c4a1,0x7130d2a12b9bcbfae4f2634d864a1ee1ce3ead9c,1737345477,TraderJ,0
